east west
north south
europa asia
america eurasien
africa australia 
scandinavian baltic
large small
big tiny
long wide
black white
brown white
yellow white
grey green
grey blue
calm busy
cosmopolitan provincial
touristy limited
america russia
america china
russia china
latino hispanic
english russian
english chinese
english spanish
spanish portuguese
developed undeveloped
first third
poor rich
civilized uncivilized
modern traditional
metropolitan rural
cityside countryside
farming development
catholic muslim
catholic buddhism
hindi muslim
democratic monarchic
hot cold
tropical mediterranean
desert vegetation
potato rice
ocean land
arctic southern
atlantic pacific
island neighbor
flat mountain
dry humid
export import
banking agriculture
coast border
port airport
schengen monarchy
