salty sweet
salt sugar
good bad
fruit vegetable
sweets healthy
delicious disgusting
tasty tasteless
dry juicy
flavorful plain
fruity heavy
hot freezing
warm cold
pepper salt
rich empty
sour bitter
spicy mild
unsweetened sweetened
zesty dull
acidic sugary
appealing repellent
chewy tender
creamy thin
crispy soft
crumbly firm
black white
red green
orange blue
yellow purple
fizzy plain
fluffy solid
cooked uncooked
baked raw
microwaved fresh
cut whole
refrigerated fresh
shell soft
seed seedless
animal plant
meat vegetable
grains beans
nuts vegetable
dairy honey
sea land
seasoned unseasoned
man woman
red white

