salty sweet
salt sugar
good bad
fruit vegetable
delicious disgusting
tasty tasteless
dry juicy
flavorful plain
fruity heavy
hot freezing
warm cold
pepper salt
rich empty
sour bitter
spicy mild
unsweetened sweetened
zesty dull
acidic sugary
appealing repellent
chewy tender
creamy thin
crispy soft
crumbly firm
black white
red green
orange blue
yellow purple
fizzy plain
fluffy solid
cooked uncooked
baked raw
microwaved fresh
cut whole
refrigerated stored
shell soft
seed seedless
animal plant
meat vegetable
grains beans
nuts vegetable
dairy honey
oil butter
fish meat
sweets vitamin
seasoned unseasoned
