silent loud
black white
woman man
recorded live
night day
king queen
young old
artificial natural
forte piano
international domestic
classic modern
medieval future
pop classical
romantic unloving
monophonic polyphonic
vocal instrumental
harmony dissonance
fast slow
string unstring
bass high
deep high
major minor
loud piano
western eastern
light dark
structure unstructured
rich poor
country cultured
progressive regressive
hip uninformed
dance stand
ambient distant
soul body
heavy light
electric relaxed
punk superior
loud soft
brassy tasteful
natural electronic
melodious unmusical
strong weak
deep shallow
full empty
piercing dull
harsh pleasant
resonant flat
pianissimo fortissimo
piano forte
fast slow
energetic gentle
joyful depressing
