buddhism catholic
descend risen
limited universal
advancement failure
disbelieve meditating
disadvantage lead
communal personal
modern primitive
good sinister
calm heated
broken smooth
bitsy giant
agitated smooth
asia europa
burghal suburban
deplete feeding
cosmopolitan unrefined
democratic monarchic
embryonic grown
exclusive extensive
inhabited uninhabited
disorderly orderly
hurt service
desolate full
bitty fat
civilized unconscionable
disturbed placid
america russia
chaotic orderly
city country
check hand
chance concomitant
heavenly worldly
cultivated unsophisticated
green ripe
small tall
barbaric gentle
cloudy light
short tall
spank surrender
atypical regular
slight stifling
east west
accessory fundamental
frozen warm
reliable treacherous
enlightened stupid
heated icy
build erased
abbreviated lengthy
erosion rebuilding
agitate calm
big minuscule
away near
ambiguous easy
populated uninhabited
fresh normal
evenness pitch
despise rus
confused orderly
sedate stimulate
contend mediating
awkward handy
ignore meditating
deterioration improvement
curtailed lengthy
bankrupt rich
prosperous underprivileged
checked disprove
damage modernized
anarchic mitigating
depart wert
intolerant liberal
discordant silvery
lush plain
befriended desolate
portside right
bold craven
adorned bare
grown incipient
ratio whole
impoverished rich
barbarian moderate
adolescent matured
crisp pliable
fat miniature
sophisticated unrefined
authentic deceitful
partial whole
buried open
cultivation hurt
busy free
giant little
destruction production
advance last
elongate shorten
great limited
loose stifling
china russia
compress expanded
equal mismatched
available engaged
fertile sterile
colossal little
flush irregular
fair unconscionable
auxiliary fundamental
aloof humane
generic individual
obsidian white
poor royal
insular unbiased
addition deduction
delightful offensive
fauna flora
drop risen
allowed bound
rural urban
dislike rus
empty full
argue mediating
blue grey
familiar novel
kind wild
employed idle
apathetic heated
progress regress
aid circumscribed
coldness hotness
chilled continue
ration whole
brave craven
long wide
blanched darkened
extensive insignificant
inexperienced sophisticated
constitutional contracted
artless sneaking
deceitful fair
careful rash
decrease evolution
generous greedy
afraid rash
confuse defined
cold friendly
part whole
debt ration
early worn
large teeny
nice raw
contaminated sterile
biased generous
onyx white
engrossed existing
portuguese spanish
penniless solvent
barred free
construct erased
curtail elongate
take vest
refuse vest
discourage feeding
buff clothed
jet white
developed embryonic
country metropolitan
arid productive
alabaster dark
free occupied
obscure popular
composure eureka
boorish delicate
first last
historic trivial
tender unbreakable
charitable harsh
broad miniature
immaterial worldly
consequential paltry
major slight
defective full
dowdy stylish
gentle raw
hell utopia
comprehensive empty
new primitive
forthright treacherous
farmland sky
bound free
encumbrance hand
defined hesitate
loss service
conventional extraordinary
coolness eureka
blacken whiten
anterior following
dying verdant
exploited unexploited
courteous disrespectful
dark frosted
unrefined urbane
autonomous subservient
cautious rash
unemployed working
inactive spunky
create erased
lengthy shortened
difference ratio
puny significant
culture inexperience
development farming
frosty hot
northern southern
drunk tranquil
clouded untroubled
trusty untrustworthy
accomplish ignored
continue detrain
bare buried
gay sapphire
bitter bland
meditating neglect
rare universal
hyperborean southern
backward developing
north south
district whole
hard spongy
chaste vulgar
cultured rude
enough meager
continent impure
uncultured urbane
local public
condemn continued
freezing sizzling
front unimportant
civil impolite
brown white
leafless leafy
extra head
fruitful infertile
disengaged engaged
solitary together
approve ignored
catholic narrow
cardinal extra
detached near
antecedent current
affluent failing
gigantic little
deep restricted
additional cardinal
adulthood childhood
devious fair
deprive feeding
abridgment expansion
developing halt
harmonious unfriendly
